bc_code,bc_name,year,population,imm_Sur,imm_Ant,imm_Tur,imm_Mar,imm_otherNW,imm_W,imm_autoch,age_0t18,age_18t26,age_27t65,age_66plus,edu_low,edu_mid,edu_high,unempl,stichting_count,vereniging_count,leisure_count,stichting_density,vereniging_density,leisure_density
N71,Noordelijke IJ-oevers West,2016,1692,4.7,1.2,1.5,1.4,8.5,15.8,67,13.5,25.7,53.7,7.6,8,41,51,6.9,233,46,172,137.7068558,27.18676123,101.6548463
N72,Noordelijke IJ-oevers Oost,2016,164,3,0.6,0.6,1.2,9.1,29.3,56.1,7.3,32.9,49.4,10.4,19,39,43,NA,86,16,45,524.3902439,97.56097561,274.3902439
N73,Waterland,2016,2211,1.2,0.5,0.5,0.1,2.2,9.4,86.2,22.4,8.5,52.5,18.3,20,31,49,4.7,69,27,69,31.20759837,12.21166893,31.20759837
N74,Elzenhagen,2016,2452,8.5,1.5,4.6,5.1,10.2,13.6,56.4,28.8,8.8,55.4,8.1,18,34,48,6,21,12,20,8.564437194,4.893964111,8.156606852
T92,Amstel III/Bullewijk,2016,438,9.4,4.1,1.6,3.7,22.6,24.4,34.2,17.6,43.4,40.4,1.8,16,71,13,NA,1597,101,355,3646.118721,230.5936073,810.5022831
T93,"Bijlmer-Centrum (D,F,H)",2016,23981,31.8,6.1,1.8,2.6,30.6,9.9,17.3,22.8,20.5,52.5,5.7,39,43,18,18.1,319,96,254,13.30219757,4.003169176,10.59171844
T94,"Bijlmer-Oost (E,G,K)",2016,27260,32.2,5.6,1,2.1,28.1,9.6,21.5,23,14,54.1,10.1,41,39,20,18,441,158,390,16.17754952,5.796038151,14.30667645
T95,Nellestein,2016,3012,13.7,2.4,0.8,0.7,13.5,17.6,51.3,14.9,9.8,56.4,19.4,21,42,37,9.9,43,13,37,14.27622842,4.316069057,12.28419655
T96,Holendrecht/Reigersbos,2016,18320,33,5.2,0.8,2.1,20.9,8.6,29.5,23.5,12.4,52.5,13,40,42,18,18.7,194,63,198,10.58951965,3.438864629,10.80786026
T97,Gein,2016,11567,26.4,3.9,0.5,1.6,19.3,10.7,37.7,20.7,12.3,58.4,9.9,36,42,23,14,125,46,112,10.806605,3.976830639,9.682718077
T98,Driemond,2016,1479,4.3,1.1,0.4,1.1,1.2,9.1,82.8,22.7,9.3,53.4,16,27,44,29,8,20,12,19,13.52265044,8.113590264,12.84651792
